ds,y
2010-07-21,19142.73
2010-07-22,21620.39
2010-07-23,23886.33
2010-07-24,0.0
2010-07-25,17230.6
2010-07-26,20232.85
2010-07-27,28265.86
2010-07-28,23252.72
2010-07-29,32801.91
2010-07-30,14363.69
2010-07-31,0.0
2010-08-01,30637.95
2010-08-02,26124.16
2010-08-03,22362.79
2010-08-04,17555.5
2010-08-05,23145.06
2010-08-06,14728.15
2010-08-07,0.0
2010-08-08,13950.71
2010-08-09,31336.59
2010-08-10,28209.74
2010-08-11,18629.86
2010-08-12,26031.28
2010-08-13,15150.14
2010-08-14,0.0
2010-08-15,20484.46
2010-08-16,14270.74
2010-08-17,28802.52
2010-08-18,35122.520000000004
2010-08-19,30663.35
2010-08-20,23250.77
2010-08-21,0.0
2010-08-22,22677.01
2010-08-23,20655.35
2010-08-24,26577.16
2010-08-25,30466.760000000002
2010-08-26,31964.34
2010-08-27,12166.64
2010-08-28,0.0
2010-08-29,14449.3
2010-08-30,0.0
2010-08-31,22811.75
2010-09-01,20351.36
2010-09-02,33430.57
2010-09-03,34739.16
2010-09-04,0.0
2010-09-05,12286.710000000001
2010-09-06,23717.79
2010-09-07,24397.45
2010-09-08,16175.220000000001
2010-09-09,23526.38
2010-09-10,15988.35
2010-09-11,0.0
2010-09-12,15528.75
2010-09-13,32892.16
2010-09-14,19705.02
2010-09-15,33812.4
2010-09-16,27099.271
2010-09-17,19486.54
2010-09-18,0.0
2010-09-19,22783.53
2010-09-20,38563.96
2010-09-21,54698.89
2010-09-22,27208.8
2010-09-23,34305.1
2010-09-24,47106.39
2010-09-25,0.0
2010-09-26,21703.9
2010-09-27,115172.24
2010-09-28,40015.41
2010-09-29,36740.03
2010-09-30,37578.57
2010-10-01,34550.89
2010-10-02,0.0
2010-10-03,38335.52
2010-10-04,34956.56
2010-10-05,55108.91
2010-10-06,30355.010000000002
2010-10-07,47610.92
2010-10-08,51836.73
2010-10-09,0.0
2010-10-10,23139.31
2010-10-11,39962.9
2010-10-12,46566.35
2010-10-13,51564.7
2010-10-14,86945.13
2010-10-15,42398.82
2010-10-16,0.0
2010-10-17,31176.14
2010-10-18,36591.44
2010-10-19,46577.64
2010-10-20,43387.26
2010-10-21,32847.8
2010-10-22,32843.94
2010-10-23,0.0
2010-10-24,28634.59
2010-10-25,27945.06
2010-10-26,42545.95
2010-10-27,30480.55
2010-10-28,30701.3
2010-10-29,36100.95
2010-10-30,0.0
2010-10-31,29947.64
2010-11-01,20730.24
2010-11-02,42866.91
2010-11-03,42870.87
2010-11-04,83876.12
2010-11-05,40907.93
2010-11-06,0.0
2010-11-07,31345.79
2010-11-08,32303.991
2010-11-09,53013.21
2010-11-10,73575.93000000001
2010-11-11,59712.61
2010-11-12,36167.25
2010-11-13,0.0
2010-11-14,27934.71
2010-11-15,42964.04
2010-11-16,63788.840000000004
2010-11-17,45726.741
2010-11-18,37074.97
2010-11-19,39999.42
2010-11-20,0.0
2010-11-21,32056.05
2010-11-22,31724.88
2010-11-23,49805.35
2010-11-24,41138.6
2010-11-25,67870.96
2010-11-26,28828.04
2010-11-27,0.0
2010-11-28,27125.16
2010-11-29,63245.18
2010-11-30,49806.23
2010-12-01,46192.49
2010-12-02,47197.57
2010-12-03,23876.63
2010-12-04,0.0
2010-12-05,31361.28
2010-12-06,31009.33
2010-12-07,53730.96
2010-12-08,39094.2
2010-12-09,38193.91
2010-12-10,33488.38
2010-12-11,0.0
2010-12-12,17102.35
2010-12-13,27578.34
2010-12-14,29235.13
2010-12-15,30251.47
2010-12-16,48791.87
2010-12-17,19966.36
2010-12-18,0.0
2010-12-19,7292.95
2010-12-20,19599.06
2010-12-21,15929.16
2010-12-22,4886.52
2010-12-23,5644.77
2010-12-24,0.0
2010-12-25,0.0
2010-12-26,0.0
2010-12-27,0.0
2010-12-28,0.0
2010-12-29,0.0
2010-12-30,0.0
2010-12-31,0.0
2011-01-01,0.0
2011-01-02,0.0
2011-01-03,0.0
2011-01-04,12105.11
2011-01-05,28799.43
2011-01-06,34343.79
2011-01-07,23797.79
2011-01-08,0.0
2011-01-09,15590.68
2011-01-10,15330.83
2011-01-11,60243.73
2011-01-12,17124.74
2011-01-13,15159.46
2011-01-14,39509.7
2011-01-15,0.0
2011-01-16,6976.39
2011-01-17,16527.05
2011-01-18,87559.21
2011-01-19,21586.78
2011-01-20,15197.08
2011-01-21,24276.01
2011-01-22,0.0
2011-01-23,10306.1
2011-01-24,17601.87
2011-01-25,23994.38
2011-01-26,17424.45
2011-01-27,22050.49
2011-01-28,17247.2
2011-01-29,0.0
2011-01-30,6542.61
2011-01-31,18806.43
2011-02-01,26358.7
2011-02-02,17091.15
2011-02-03,22171.9
2011-02-04,18087.96
2011-02-05,0.0
2011-02-06,3439.67
2011-02-07,23382.97
2011-02-08,14153.34
2011-02-09,11910.83
2011-02-10,14155.36
2011-02-11,18579.96
2011-02-12,0.0
2011-02-13,5645.4800000000005
2011-02-14,22999.39
2011-02-15,37750.62
2011-02-16,23413.97
2011-02-17,17659.64
2011-02-18,14438.73
2011-02-19,0.0
2011-02-20,9437.8
2011-02-21,32724.38
2011-02-22,29116.63
2011-02-23,19315.97
2011-02-24,21463.94
2011-02-25,18377.14
2011-02-26,0.0
2011-02-27,9382.710000000001
2011-02-28,15026.68
2011-03-01,23621.59
2011-03-02,18666.14
2011-03-03,32818.19
2011-03-04,17302.55
2011-03-05,0.0
2011-03-06,9951.67
2011-03-07,20247.850000000002
2011-03-08,22184.11
2011-03-09,20320.23
2011-03-10,24429.77
2011-03-11,20894.75
2011-03-12,0.0
2011-03-13,4117.22
2011-03-14,25866.33
2011-03-15,14896.28
2011-03-16,21715.11
2011-03-17,31976.510000000002
2011-03-18,23334.600000000002
2011-03-19,0.0
2011-03-20,19880.99
2011-03-21,16020.1
2011-03-22,19016.94
2011-03-23,21566.02
2011-03-24,36496.79
2011-03-25,27271.1
2011-03-26,0.0
2011-03-27,9189.77
2011-03-28,19961.67
2011-03-29,37190.52
2011-03-30,29523.85
2011-03-31,25621.11
2011-04-01,24487.9
2011-04-02,0.0
2011-04-03,6872.53
2011-04-04,28998.010000000002
2011-04-05,28667.42
2011-04-06,12698.32
2011-04-07,16780.32
2011-04-08,22673.91
2011-04-09,0.0
2011-04-10,9879.75
2011-04-11,20179.7
2011-04-12,23988.6
2011-04-13,24450.27
2011-04-14,35682.73
2011-04-15,17999.181
2011-04-16,0.0
2011-04-17,12630.34
2011-04-18,43671.37
2011-04-19,18811.19
2011-04-20,25715.8
2011-04-21,27771.04
2011-04-22,0.0
2011-04-23,0.0
2011-04-24,0.0
2011-04-25,0.0
2011-04-26,21536.86
2011-04-27,23566.91
2011-04-28,21312.18
2011-04-29,0.0
2011-04-30,0.0
2011-05-01,6958.11
2011-05-02,0.0
2011-05-03,28877.21
2011-05-04,27509.81
2011-05-05,25191.79
2011-05-06,30783.33
2011-05-07,0.0
2011-05-08,18731.98
2011-05-09,21608.16
2011-05-10,29807.25
2011-05-11,31848.3
2011-05-12,59827.74
2011-05-13,25815.72
2011-05-14,0.0
2011-05-15,9667.15
2011-05-16,35706.7
2011-05-17,46361.090000000004
2011-05-18,32775.69
2011-05-19,31521.87
2011-05-20,25351.44
2011-05-21,0.0
2011-05-22,24102.0
2011-05-23,31232.53
2011-05-24,32460.83
2011-05-25,21870.71
2011-05-26,32764.38
2011-05-27,21109.22
2011-05-28,0.0
2011-05-29,7338.94
2011-05-30,0.0
2011-05-31,18133.2
2011-06-01,15380.39
2011-06-02,28078.91
2011-06-03,15024.11
2011-06-04,0.0
2011-06-05,25423.760000000002
2011-06-06,16269.03
2011-06-07,33807.85
2011-06-08,30122.23
2011-06-09,42862.8
2011-06-10,58245.12
2011-06-11,0.0
2011-06-12,12397.09
2011-06-13,19696.66
2011-06-14,33324.49
2011-06-15,44954.18
2011-06-16,32252.1
2011-06-17,19053.53
2011-06-18,0.0
2011-06-19,22421.48
2011-06-20,26110.99
2011-06-21,19827.91
2011-06-22,21143.75
2011-06-23,22469.62
2011-06-24,16016.04
2011-06-25,0.0
2011-06-26,7032.36
2011-06-27,13381.75
2011-06-28,30470.88
2011-06-29,12569.78
2011-06-30,41709.24
2011-07-01,12146.44
2011-07-02,0.0
2011-07-03,5972.7300000000005
2011-07-04,30941.37
2011-07-05,25988.510000000002
2011-07-06,22934.22
2011-07-07,27860.38
2011-07-08,17538.5
2011-07-09,0.0
2011-07-10,5959.54
2011-07-11,20008.83
2011-07-12,17938.49
2011-07-13,19411.52
2011-07-14,31979.04
2011-07-15,11814.7
2011-07-16,0.0
2011-07-17,16926.15
2011-07-18,22001.63
2011-07-19,46583.01
2011-07-20,27021.06
2011-07-21,30271.940000000002
2011-07-22,14628.88
2011-07-23,0.0
2011-07-24,26777.920000000002
2011-07-25,19676.55
2011-07-26,17284.301
2011-07-27,22846.13
2011-07-28,54171.950000000004
2011-07-29,17166.75
2011-07-30,0.0
2011-07-31,33112.36
2011-08-01,19778.12
2011-08-02,20272.0
2011-08-03,26572.83
2011-08-04,62074.19
2011-08-05,19703.95
2011-08-06,0.0
2011-08-07,7541.91
2011-08-08,19743.98
2011-08-09,25949.920000000002
2011-08-10,19853.41
2011-08-11,54325.27
2011-08-12,17970.170000000002
2011-08-13,0.0
2011-08-14,5701.87
2011-08-15,17235.95
2011-08-16,16072.710000000001
2011-08-17,48554.44
2011-08-18,54034.98
2011-08-19,17326.07
2011-08-20,0.0
2011-08-21,14410.25
2011-08-22,29617.26
2011-08-23,22384.02
2011-08-24,38371.37
2011-08-25,22441.260000000002
2011-08-26,24095.49
2011-08-27,0.0
2011-08-28,10686.56
2011-08-29,0.0
2011-08-30,8805.17
2011-08-31,20527.89
2011-09-01,37358.62
2011-09-02,30203.86
2011-09-03,0.0
2011-09-04,16930.43
2011-09-05,35439.91
2011-09-06,25466.97
2011-09-07,21967.420000000002
2011-09-08,23048.38
2011-09-09,25082.86
2011-09-10,0.0
2011-09-11,35206.92
2011-09-12,27777.36
2011-09-13,48116.5
2011-09-14,22013.75
2011-09-15,71926.69
2011-09-16,23245.03
2011-09-17,0.0
2011-09-18,15639.55
2011-09-19,46588.21
2011-09-20,103377.68
2011-09-21,38472.1
2011-09-22,57734.98
2011-09-23,31753.75
2011-09-24,0.0
2011-09-25,31164.781
2011-09-26,29265.511
2011-09-27,29212.32
2011-09-28,39001.91
2011-09-29,44671.27
2011-09-30,40023.44
2011-10-01,0.0
2011-10-02,11479.98
2011-10-03,62143.07
2011-10-04,38532.090000000004
2011-10-05,73975.57
2011-10-06,60258.53
2011-10-07,49089.47
2011-10-08,0.0
2011-10-09,12215.51
2011-10-10,42962.8
2011-10-11,46401.14
2011-10-12,27655.2
2011-10-13,32850.25
2011-10-14,32071.62
2011-10-15,0.0
2011-10-16,21767.94
2011-10-17,46868.65
2011-10-18,37248.16
2011-10-19,37227.88
2011-10-20,60910.3
2011-10-21,60364.01
2011-10-22,0.0
2011-10-23,12156.57
2011-10-24,38897.89
2011-10-25,36113.86
2011-10-26,34105.36
2011-10-27,55747.200000000004
2011-10-28,37194.58
2011-10-29,0.0
2011-10-30,34397.95
2011-10-31,33006.87
2011-11-01,29069.56
2011-11-02,38536.44
2011-11-03,60536.09
2011-11-04,55716.47
2011-11-05,0.0
2011-11-06,42508.590000000004
2011-11-07,28602.73
2011-11-08,38151.91
2011-11-09,61241.58
2011-11-10,70373.03
2011-11-11,36932.07
2011-11-12,0.0
2011-11-13,28416.010000000002
2011-11-14,58595.22
2011-11-15,47535.51
2011-11-16,48154.12
2011-11-17,55683.49
2011-11-18,36606.25
2011-11-19,0.0
2011-11-20,29642.39
2011-11-21,45202.01
2011-11-22,49438.55
2011-11-23,71722.75
2011-11-24,38359.69
2011-11-25,26542.33
2011-11-26,0.0
2011-11-27,16969.25
2011-11-28,51632.21
2011-11-29,48640.57
2011-11-30,41396.79
2011-12-01,44405.37
2011-12-02,44526.1
2011-12-03,0.0
2011-12-04,20232.0
2011-12-05,58081.090000000004
2011-12-06,45989.66
2011-12-07,69230.6
2011-12-08,50395.96
2011-12-09,184347.66
